asset,rebalance_every_n_steps,std_pnl,CVaR_5pct,mean_pnl
BTC-USD (volatile crypto),1,2626.4402682474592,9850.887278656615,-1473.8823717442015
BTC-USD (volatile crypto),2,2765.901533202809,9977.336215145444,-1426.8454177460037
BTC-USD (volatile crypto),5,3135.0306734830892,10439.056110968935,-1417.1557819057612
BTC-USD (volatile crypto),10,3715.35650791997,11981.521853334974,-1406.9907234781913
BTC-USD (volatile crypto),21,5003.139163578205,15030.057377666082,-1390.388780491736
