asset,ground_truth_CVaR99_n8000,plain_MC_CVaR99_n2000,importance_sampled_CVaR99_n2000
SPY (calm equity),51.94522841989228,52.8379069694693,49.02724982043064
BTC-USD (volatile crypto),13447.053183041653,13818.758310916714,13672.869329481968
