asset,strategy,mean_pnl,std_pnl,mean_transaction_cost,VaR_5pct,CVaR_5pct,VaR_1pct,CVaR_1pct
SPY (calm equity),Delta-only,-0.42644152607121877,4.472490880082532,,8.831030889859678,12.72669084105518,15.48977721447963,19.192224811579756
SPY (calm equity),Delta-Vega,-2.081311659717522,4.007945688898342,0.3813508160645764,9.407149857682388,13.730799587327022,16.89109782419631,20.45115643695245
BTC-USD (volatile crypto),Delta-only,-55.83110091632187,2142.3694415159102,,4167.0617378656025,6158.5681418430895,7461.058334359537,9014.415991081923
BTC-USD (volatile crypto),Delta-Vega,-312.920953240601,1880.4476707026954,47.30400694964402,3078.9315014482045,4642.456772959875,5715.261339785471,7087.79908390968
