asset,hedge_model,q,historical_VaR,historical_CVaR,EVT_VaR,EVT_CVaR,beyond_threshold_data,gpd_xi,gpd_beta
SPY (calm equity),BS hedge,0.05,26.42014572123245,38.76324016833492,26.48473225906821,38.932551909113904,True,0.012234764996791693,12.191692294797232
SPY (calm equity),BS hedge,0.01,46.37416475127284,60.163220924212396,46.46973144828161,59.165091465082874,True,0.012234764996791693,12.191692294797232
SPY (calm equity),BS hedge,0.001,79.26670769818756,86.30159939260733,75.75479632449112,88.81289019138082,True,0.012234764996791693,12.191692294797232
SPY (calm equity),Merton hedge,0.05,20.43828013579508,31.810527478664707,20.28380750014307,31.864066805807635,True,0.04748330879378866,10.673257290003223
SPY (calm equity),Merton hedge,0.01,38.80352721400477,51.94522841989228,38.73249558092419,51.23242879998832,True,0.04748330879378866,10.673257290003223
SPY (calm equity),Merton hedge,0.001,69.38448475688509,76.81656159310258,67.70285770921306,81.64697417829818,True,0.04748330879378866,10.673257290003223
BTC-USD (volatile crypto),BS hedge,0.05,6899.4248479417365,10025.157798228076,6785.648055828466,10059.448112653517,True,0.05289148258711418,2989.027917728057
BTC-USD (volatile crypto),BS hedge,0.01,11886.295660254138,15533.1741301656,11994.500091739777,15559.189631333733,True,0.05289148258711418,2989.027917728057
BTC-USD (volatile crypto),BS hedge,0.001,18524.762424651584,25836.5760729729,20261.56308257424,24287.928565512797,True,0.05289148258711418,2989.027917728057
BTC-USD (volatile crypto),Merton hedge,0.05,5210.9378413851255,8184.498414174653,5160.365321692174,8211.076214057528,True,0.06988989941696253,2703.3137737505967
BTC-USD (volatile crypto),Merton hedge,0.01,9884.244192533937,13447.053183041653,9993.89114805176,13407.800583924816,True,0.06988989941696253,2703.3137737505967
BTC-USD (volatile crypto),Merton hedge,0.001,17020.76514650098,23411.417611307705,17926.490632291716,21936.46775920592,True,0.06988989941696253,2703.3137737505967
