asset,diffusive_sigma,european_put_price,american_put_price,early_exercise_premium,premium_pct,crank_nicolson_price,crank_nicolson_delta,crank_nicolson_gamma
SPY (calm equity),0.15769024415133326,18.099030800924876,18.681640114413263,0.582609313488387,3.219008354075043,18.48875220313765,-0.45372562128662247,0.007935287478493277
BTC-USD (volatile crypto),0.45576884902928044,7545.862356701375,7612.823828363503,66.96147166212813,0.8873932295181689,7606.73001875321,-0.4427723400339568,1.998470180699437e-05
