asset,BS_CVaR_5pct_walkforward,BS_CVaR_5pct_fullsample_biased,Merton_CVaR_5pct_walkforward,Merton_CVaR_5pct_fullsample_biased
SPY (calm equity),16.27820490703028,16.35549839303537,12.398067533602807,12.59087957076189
BTC-USD (volatile crypto),1838.5987756720192,2641.2984077323003,1118.3783651897945,1871.9267979657143
