asset,rebalance_every_n_steps,std_pnl,CVaR_5pct,mean_pnl
SPY (calm equity),1,10.09248260876774,39.23531071534042,-5.797049739443762
SPY (calm equity),2,10.331472188819053,39.269074960949794,-5.6288939885462534
SPY (calm equity),5,11.089343984455686,40.066299582027334,-5.425425480949975
SPY (calm equity),10,12.332067814543244,42.56454764554974,-5.405876369309626
SPY (calm equity),21,14.283186264121152,45.29566478801504,-4.985050670414345
