asset,hedge_model,mean_pnl,std_pnl,worst_loss,VaR_5pct,CVaR_5pct,VaR_1pct,CVaR_1pct
SPY (calm equity),BS hedge (blind to jumps),-6.049048248514944,10.046248204504579,93.86620788917526,26.48576364754488,38.85948505637786,46.489312722901126,60.31259675999788
SPY (calm equity),Merton hedge (jump-aware),-0.9753738366892232,9.61277540130042,85.07888965345614,20.489042256198708,31.88951048989189,38.89989365177152,52.074200608263844
BTC-USD (volatile crypto),BS hedge (blind to jumps),-1509.5020986475163,2687.0108345724984,39834.032610980605,6899.4248479417365,10025.157798228076,11886.295660254138,15533.1741301656
BTC-USD (volatile crypto),Merton hedge (jump-aware),-117.34215984680668,2599.431751957936,36355.61053690557,5210.9378413851255,8184.498414174653,9884.244192533937,13447.053183041653
